  x,y,z,rho,u,v,w,p
     9.696970,      0.133333,      0.000000,      1.024485,    140.662994,     -0.018790,      0.000000,  85368.148438
     9.848480,      0.133333,      0.000000,      1.024248,    140.867508,     -0.018934,      0.000000,  85339.664062
    10.000000,      0.133333,      0.000000,      1.024037,    141.052017,     -0.018976,      0.000000,  85314.203125
    10.151520,      0.133333,      0.000000,      1.023848,    141.219116,     -0.018911,      0.000000,  85291.351562
    10.303030,      0.133333,      0.000000,      1.023679,    141.371140,     -0.018739,      0.000000,  85270.757812
    10.454550,      0.133333,      0.000000,      1.023526,    141.510071,     -0.018512,      0.000000,  85252.117188
    10.606060,      0.133333,      0.000000,      1.023387,    141.637634,     -0.018248,      0.000000,  85235.171875
    10.757580,      0.133333,      0.000000,      1.023261,    141.755280,     -0.017953,      0.000000,  85219.710938
    10.909090,      0.133333,      0.000000,      1.023146,    141.864258,     -0.017649,      0.000000,  85205.554688
    11.060610,      0.133333,      0.000000,      1.023041,    141.965637,     -0.017372,      0.000000,  85192.500000
    11.212120,      0.133333,      0.000000,      1.022943,    142.060425,     -0.017157,      0.000000,  85180.398438
    11.363640,      0.133333,      0.000000,      1.022852,    142.149368,     -0.016999,      0.000000,  85169.109375
    11.515150,      0.133333,      0.000000,      1.022768,    142.233139,     -0.016847,      0.000000,  85158.531250
    11.666670,      0.133333,      0.000000,      1.022688,    142.312347,     -0.016666,      0.000000,  85148.546875
    11.818180,      0.133333,      0.000000,      1.022612,    142.387573,     -0.016441,      0.000000,  85139.078125
    11.969700,      0.133333,      0.000000,      1.022540,    142.459229,     -0.016149,      0.000000,  85130.070312
    12.121210,      0.133333,      0.000000,      1.022471,    142.527817,     -0.015786,      0.000000,  85121.492188
    12.272730,      0.133333,      0.000000,      1.022406,    142.593719,     -0.015367,      0.000000,  85113.320312
    12.424240,      0.133333,      0.000000,      1.022344,    142.657150,     -0.014931,      0.000000,  85105.492188
    12.575760,      0.133333,      0.000000,      1.022285,    142.718399,     -0.014522,      0.000000,  85097.976562
    12.727270,      0.133333,      0.000000,      1.022228,    142.777649,     -0.014163,      0.000000,  85090.710938
    12.878790,      0.133333,      0.000000,      1.022172,    142.835129,     -0.013866,      0.000000,  85083.648438
    13.030300,      0.133333,      0.000000,      1.022118,    142.891022,     -0.013644,      0.000000,  85076.789062
    13.181820,      0.133333,      0.000000,      1.022065,    142.945435,     -0.013494,      0.000000,  85070.085938
    13.333330,      0.133333,      0.000000,      1.022014,    142.998520,     -0.013380,      0.000000,  85063.554688
    13.484850,      0.133333,      0.000000,      1.021963,    143.050308,     -0.013263,      0.000000,  85057.148438
