  x,y,z,rho,u,v,w,p
     9.491530,      0.150000,      0.000000,      1.013131,    135.706085,     -0.044050,      0.000000,  85097.054688
     9.661020,      0.150000,      0.000000,      1.012897,    135.962921,     -0.037212,      0.000000,  85064.523438
     9.830510,      0.150000,      0.000000,      1.012793,    136.208054,     -0.030466,      0.000000,  85043.812500
    10.000000,      0.150000,      0.000000,      1.012799,    136.377579,     -0.027346,      0.000000,  85037.062500
     0.000000,      0.300000,      0.000000,      1.053637,    151.529755,      0.034656,      0.000000,  87293.914062
     0.169490,      0.300000,      0.000000,      1.053644,    151.502716,      0.052749,      0.000000,  87294.710938
     0.338980,      0.300000,      0.000000,      1.053684,    151.442902,      0.078801,      0.000000,  87299.281250
     0.508470,      0.300000,      0.000000,      1.053775,    151.345123,      0.105741,      0.000000,  87309.953125
     0.677970,      0.300000,      0.000000,      1.053916,    151.208389,      0.137360,      0.000000,  87326.226562
     0.847460,      0.300000,      0.000000,      1.054106,    151.028076,      0.175953,      0.000000,  87348.390625
     1.016950,      0.300000,      0.000000,      1.054355,    150.796188,      0.223370,      0.000000,  87377.281250
     1.186440,      0.300000,      0.000000,      1.054673,    150.501663,      0.282053,      0.000000,  87414.273438
     1.355930,      0.300000,      0.000000,      1.055076,    150.129898,      0.355462,      0.000000,  87461.054688
     1.525420,      0.300000,      0.000000,      1.055581,    149.661926,      0.448410,      0.000000,  87519.835938
     1.694920,      0.300000,      0.000000,      1.056213,    149.072510,      0.567541,      0.000000,  87593.523438
     1.864410,      0.300000,      0.000000,      1.057003,    148.328369,      0.722336,      0.000000,  87685.773438
     2.033900,      0.300000,      0.000000,      1.057990,    147.384628,      0.927098,      0.000000,  87801.218750
     2.203390,      0.300000,      0.000000,      1.059222,    146.179810,      1.202117,      0.000000,  87945.765625
     2.372880,      0.300000,      0.000000,      1.060764,    144.630905,      1.565473,      0.000000,  88127.617188
     2.542370,      0.300000,      0.000000,      1.062745,    142.637207,      2.027222,      0.000000,  88363.093750
     2.711860,      0.300000,      0.000000,      1.065190,    139.996780,      2.741153,      0.000000,  88658.085938
     2.881360,      0.300000,      0.000000,      1.067542,    136.145538,      4.481719,      0.000000,  88952.609375
     3.050850,      0.300720,      0.000000,      1.072466,    131.526230,      8.583906,      0.000000,  89560.593750
     3.220340,      0.313338,      0.000000,      1.079064,    128.629623,     15.509522,      0.000000,  90375.132812
     3.389830,      0.340878,      0.000000,      1.080990,    129.357178,     24.154411,      0.000000,  90651.304688
     3.559320,      0.381396,      0.000000,      1.076440,    133.703552,     32.961243,      0.000000,  90175.929688
     3.728810,      0.432030,      0.000000,      1.066411,    141.146942,     40.853580,      0.000000,  89069.132812
     3.898310,      0.489207,      0.000000,      1.051528,    151.383118,     47.160416,      0.000000,  87411.554688
     4.067800,      0.548913,      0.000000,      1.031894,    164.197723,     51.249184,      0.000000,  85223.875000
     4.237290,      0.606936,      0.000000,      1.007715,    179.170273,     52.356930,      0.000000,  82539.656250
     4.406780,      0.659181,      0.000000,      0.979943,    195.404312,     49.649734,      0.000000,  79476.695312
     4.576270,      0.701976,      0.000000,      0.950692,    211.316269,     42.440704,      0.000000,  76279.695312
