  x,y,z,rho,u,v,w,p
     9.696970,      0.133333,      0.000000,      1.025635,    148.570816,     -0.014551,      0.000000,  85289.523438
     9.848480,      0.133333,      0.000000,      1.025411,    148.763443,     -0.015267,      0.000000,  85261.976562
    10.000000,      0.133333,      0.000000,      1.025216,    148.934845,     -0.015778,      0.000000,  85237.734375
    10.151520,      0.133333,      0.000000,      1.025044,    149.087784,     -0.016092,      0.000000,  85216.328125
    10.303030,      0.133333,      0.000000,      1.024893,    149.224854,     -0.016264,      0.000000,  85197.375000
    10.454550,      0.133333,      0.000000,      1.024760,    149.348053,     -0.016342,      0.000000,  85180.531250
    10.606060,      0.133333,      0.000000,      1.024642,    149.459366,     -0.016344,      0.000000,  85165.523438
    10.757580,      0.133333,      0.000000,      1.024536,    149.560242,     -0.016285,      0.000000,  85152.078125
    10.909090,      0.133333,      0.000000,      1.024443,    149.652039,     -0.016155,      0.000000,  85140.000000
    11.060610,      0.133333,      0.000000,      1.024359,    149.735901,     -0.015974,      0.000000,  85129.117188
    11.212120,      0.133333,      0.000000,      1.024284,    149.812851,     -0.015776,      0.000000,  85119.250000
    11.363640,      0.133333,      0.000000,      1.024216,    149.883789,     -0.015559,      0.000000,  85110.273438
    11.515150,      0.133333,      0.000000,      1.024154,    149.949402,     -0.015318,      0.000000,  85102.070312
    11.666670,      0.133333,      0.000000,      1.024098,    150.010345,     -0.015069,      0.000000,  85094.554688
    11.818180,      0.133333,      0.000000,      1.024047,    150.067200,     -0.014822,      0.000000,  85087.617188
    11.969700,      0.133333,      0.000000,      1.024000,    150.120453,     -0.014573,      0.000000,  85081.179688
    12.121210,      0.133333,      0.000000,      1.023956,    150.170578,     -0.014320,      0.000000,  85075.179688
    12.272730,      0.133333,      0.000000,      1.023916,    150.217865,     -0.014051,      0.000000,  85069.562500
    12.424240,      0.133333,      0.000000,      1.023878,    150.262665,     -0.013761,      0.000000,  85064.273438
    12.575760,      0.133333,      0.000000,      1.023842,    150.305267,     -0.013476,      0.000000,  85059.273438
    12.727270,      0.133333,      0.000000,      1.023808,    150.345932,     -0.013218,      0.000000,  85054.531250
    12.878790,      0.133333,      0.000000,      1.023777,    150.384857,     -0.012973,      0.000000,  85050.023438
    13.030300,      0.133333,      0.000000,      1.023746,    150.422165,     -0.012732,      0.000000,  85045.703125
    13.181820,      0.133333,      0.000000,      1.023717,    150.458069,     -0.012512,      0.000000,  85041.531250
