  x,y,z,rho,u,v,w,p
    17.447891,    -20.040207,      0.000000,      0.095408,    399.916321,   -464.655151,      0.000000,   3107.906738
    17.944622,    -20.620455,      0.000000,      0.093309,    402.032135,   -466.801514,      0.000000,   3014.456055
    18.443901,    -21.203922,      0.000000,      0.091000,    404.161713,   -469.092621,      0.000000,   2913.344238
    18.945631,    -21.790497,      0.000000,      0.088662,    406.093018,   -471.397095,      0.000000,   2812.685059
    19.449810,    -22.380075,      0.000000,      0.086484,    407.639771,   -473.467743,      0.000000,   2720.384277
    19.956440,    -22.972647,      0.000000,      0.084555,    408.767609,   -474.920471,      0.000000,   2640.547607
    20.465420,    -23.568102,      0.000000,      0.082762,    409.677216,   -475.381989,      0.000000,   2569.097900
    20.976755,    -24.166534,      0.000000,      0.080868,    410.664215,   -474.606171,      0.000000,   2497.009277
    21.490438,    -24.767731,      0.000000,      0.078578,    411.935059,   -472.541840,      0.000000,   2415.108398
    22.006378,    -25.371691,      0.000000,      0.075691,    413.503296,   -469.592316,      0.000000,   2317.582764
    22.524475,    -25.978401,      0.000000,      0.072701,    414.642212,   -467.094849,      0.000000,   2217.312012
    23.044821,    -26.587849,      0.000000,      0.071582,    412.682495,   -466.828979,      0.000000,   2170.099121
    23.567327,    -27.199623,      0.000000,      0.075622,    402.682587,   -467.448273,      0.000000,   2288.018555
    24.091988,    -27.814026,      0.000000,      0.087688,    382.207458,   -461.183319,      0.000000,   2725.270264
    24.618708,    -28.431084,      0.000000,      0.108182,    356.397827,   -441.584808,      0.000000,   3611.213135
    25.147585,    -29.050598,      0.000000,      0.134324,    332.239075,   -412.103699,      0.000000,   4921.058105
    25.678516,    -29.672672,      0.000000,      0.162012,    311.928253,   -380.440216,      0.000000,   6469.870605
    26.211411,    -30.297203,      0.000000,      0.188372,    294.414642,   -351.767944,      0.000000,   8064.322754
    26.746359,    -30.924192,      0.000000,      0.212222,    278.692963,   -328.059479,      0.000000,   9585.966797
    27.283175,    -31.553648,      0.000000,      0.233513,    264.597992,   -309.249084,      0.000000,  10992.283203
    27.822046,    -32.185562,      0.000000,      0.252737,    252.363297,   -294.463715,      0.000000,  12289.544922
    28.362875,    -32.819744,      0.000000,      0.270410,    241.944275,   -282.683624,      0.000000,  13497.693359
    28.905472,    -33.456291,      0.000000,      0.287564,    232.725281,   -272.655212,      0.000000,  14683.630859
    29.450027,    -34.095196,      0.000000,      0.305549,    223.987778,   -263.092773,      0.000000,  15946.345703
    29.996445,    -34.736378,      0.000000,      0.325237,    215.272903,   -253.109161,      0.000000,  17357.345703
    30.544725,    -35.379826,      0.000000,      0.346649,    206.520218,   -242.534927,      0.000000,  18926.398438
    31.094765,    -36.025543,      0.000000,      0.368718,    198.049454,   -231.916229,      0.000000,  20575.791016
    31.646671,    -36.673534,      0.000000,      0.389668,    190.360916,   -222.325439,      0.000000,  22160.755859
    32.200344,    -37.323593,      0.000000,      0.407596,    183.851913,   -214.703384,      0.000000,  23514.636719
    32.755676,    -37.975933,      0.000000,      0.421724,    178.696091,   -209.071182,      0.000000,  24558.867188
    33.312874,    -38.630444,      0.000000,      0.432223,    174.732803,   -204.875214,      0.000000,  25298.628906
    33.871735,    -39.287025,      0.000000,      0.439728,    171.353226,   -201.566559,      0.000000,  25783.738281
    34.432266,    -39.945789,      0.000000,      0.445421,    167.955612,   -198.025131,      0.000000,  26108.937500
    34.994560,    -40.606632,      0.000000,      0.450867,    164.017075,   -193.592957,      0.000000,  26404.632812
    35.558422,    -41.269455,      0.000000,      0.455249,    158.591232,   -187.829971,      0.000000,  26635.626953
    36.123951,    -41.934452,      0.000000,      0.460222,    152.934113,   -181.104294,      0.000000,  26948.210938
    36.691139,    -42.601437,      0.000000,      0.460879,    146.274811,   -172.122772,      0.000000,  27115.654297
    37.259998,    -43.270500,      0.000000,      0.456662,    140.264374,   -164.232712,      0.000000,  26986.816406
   -10.000000,      0.160000,      0.000000,      0.741838,    314.479797,     -0.021453,      0.000000,  53413.296875
    -9.275917,      0.160000,      0.000000,      0.741309,    314.728180,     -0.014017,      0.000000,  53360.046875
    -8.567214,      0.160000,      0.000000,      0.740246,    315.212341,     -0.006572,      0.000000,  53253.121094
    -7.874447,      0.160000,      0.000000,      0.738669,    315.912354,     -0.004106,      0.000000,  53094.546875
    -7.198182,      0.160000,      0.000000,      0.736634,    316.807465,     -0.004813,      0.000000,  52890.164062
    -6.539092,      0.160000,      0.000000,      0.734162,    317.877991,     -0.006889,      0.000000,  52642.265625
    -5.897896,      0.160000,      0.000000,      0.731287,    319.108002,      0.008995,      0.000000,  52354.421875
    -5.275401,      0.160000,      0.000000,      0.728049,    320.501526,      0.003355,      0.000000,  52030.839844
    -4.672547,      0.160000,      0.000000,      0.724300,    322.016968,     -0.023158,      0.000000,  51657.023438
    -4.090372,      0.160000,      0.000000,      0.720439,    323.748627,      0.142688,      0.000000,  51272.933594
    -3.530104,      0.160586,      0.000000,      0.715919,    326.045776,      0.320616,      0.000000,  50824.503906
    -2.993173,      0.160966,      0.000000,      0.709327,    328.856720,      0.057457,      0.000000,  50171.054688
    -2.481299,      0.160813,      0.000000,      0.701359,    331.870636,      0.007052,      0.000000,  49384.929688
    -1.996583,      0.160012,      0.000000,      0.694471,    336.145996,     -0.863715,      0.000000,  48719.835938
    -1.541675,      0.159596,      0.000000,      0.679812,    339.983917,     -1.515882,      0.000000,  47284.582031
    -1.120040,      0.156742,      0.000000,      0.669923,    348.081940,      1.830340,      0.000000,  46223.773438
    -0.736533,      0.162074,      0.000000,      0.629294,    373.346985,     -5.757024,      0.000000,  42449.054688
    -0.398516,      0.134313,      0.000000,      0.513860,    410.164398,    -46.251934,      0.000000,  32544.429688
    -0.119239,      0.064587,      0.000000,      0.386937,    441.611847,   -115.556450,      0.000000,  22281.746094
     0.060606,     -0.013981,      0.000000,      0.282989,    459.140442,   -191.041199,      0.000000,  14704.535156
     0.246907,     -0.133662,      0.000000,      0.195731,    454.278473,   -278.833710,      0.000000,   9006.091797
     0.489227,     -0.324075,      0.000000,      0.146647,    428.624054,   -364.993317,      0.000000,   5905.778320
     0.759271,     -0.562739,      0.000000,      0.120200,    412.650726,   -413.534607,      0.000000,   4400.787109
     1.049250,     -0.887944,      0.000000,      0.099683,    403.424042,   -442.586731,      0.000000,   3359.802246
     1.355111,     -1.230957,      0.000000,      0.093786,    395.371674,   -455.852509,      0.000000,   3069.265381
     1.674304,     -1.581906,      0.000000,      0.094352,    393.602142,   -456.923553,      0.000000,   3093.988037
     2.005074,     -1.947048,      0.000000,      0.095391,    395.883240,   -454.079010,      0.000000,   3144.234863
     2.346117,     -2.324877,      0.000000,      0.095620,    397.964813,   -452.150970,      0.000000,   3158.251465
     2.696423,     -2.714120,      0.000000,      0.095157,    398.541718,   -452.105865,      0.000000,   3140.399902
